,1-treacle_cookies.png,1-treacle_cookies.png,2-steamed_puddings.png,2-steamed_puddings.png,3-ellas_strawberries_apples.png,3-ellas_strawberries_apples.png,4-corn.png,4-corn.png,5-pineapple.png,5-pineapple.png,6-sour_patch_kids.png,6-sour_patch_kids.png,7-olives.png,7-olives.png,8-liquorice_catherine_wheels.png,8-liquorice_catherine_wheels.png,10-bounty_redo.png,10-bounty_redo.png,13-mccoys_steak_crisps.png,13-mccoys_steak_crisps.png,16-skips_prawn.png,16-skips_prawn.png,17-jacobs_mini_cheddars_redo.png,17-jacobs_mini_cheddars_redo.png,18-mms.png,18-mms.png,19-caramello_redo.png,19-caramello_redo.png,20-fruit_pastilles.png,20-fruit_pastilles.png,21-nakd_banana_crunch.png,21-nakd_banana_crunch.png,22-daim.png,22-daim.png,23-crunchie_redo.png,23-crunchie_redo.png,25-kitkat.png,25-kitkat.png,26-walkers_smoky_bacon.png,26-walkers_smoky_bacon.png,27-hartleys_raspberries_jelly.png,27-hartleys_raspberries_jelly.png,29-beans.png,29-beans.png,30-spaghetti_hoops.png,30-spaghetti_hoops.png,31-hobnobs.png,31-hobnobs.png,33-ambrosia_rice.png,33-ambrosia_rice.png,34-hula_hoops_bbq_beef_redo.png,34-hula_hoops_bbq_beef_redo.png,35-raisins.png,35-raisins.png,36-fig_rolls.png,36-fig_rolls.png,38-maltesers.png,38-maltesers.png,40-sardines.png,40-sardines.png,41-peanuts_redo.png,41-peanuts_redo.png,42-mrkipling_lemon_slices.png,42-mrkipling_lemon_slices.png,43-mrporky_pork_crackles_redo.png,43-mrporky_pork_crackles_redo.png,44-crunch.png,44-crunch.png,45-chewy_nougat_redo.png,45-chewy_nougat_redo.png,46-pistachios.png,46-pistachios.png,48-twix.png,48-twix.png,49-yorkie.png,49-yorkie.png,50-polo.png,50-polo.png,51-mars.png,51-mars.png
,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed,familiarity,consumed
C12,3,3,2,2,3,2,3,3,3,2,3,3,3,3,3,1,3,3,3,2,3,2,3,2,3,2,3,2,3,3,2,1,2,2,3,2,3,3,3,2,3,2,3,3,3,2,3,2,3,1,3,2,3,2,3,2,3,3,3,3,3,3,3,2,3,2,3,2,2,1,3,3,3,3,3,2,3,2,3,3
C13,3,2,2,1,1,1,3,3,1,1,3,2,3,2,1,1,1,1,2,2,3,2,3,2,3,2,3,2,3,2,2,1,1,1,3,2,3,2,2,2,1,1,3,2,3,2,3,2,1,1,2,1,3,2,1,1,3,2,1,1,3,2,2,2,2,2,2,2,1,1,3,2,3,2,3,2,1,1,3,2
C14,2,1,2,1,2,1,3,2,2,1,3,2,2,1,1,1,3,2,3,1,2,1,3,2,3,2,3,2,2,1,2,1,1,1,3,2,3,2,3,2,2,1,3,2,2,1,2,1,2,1,2,1,2,1,2,1,3,2,2,1,3,2,2,1,3,2,3,1,2,1,2,1,3,2,2,1,2,1,3,3
C15,1,1,2,1,2,1,3,2,3,2,2,1,1,1,2,1,3,2,3,2,3,2,3,2,3,2,3,2,3,2,2,1,2,1,3,2,3,2,3,3,2,1,3,2,3,1,2,1,2,1,3,2,3,2,2,1,3,2,3,2,3,2,3,2,2,1,2,1,1,1,1,1,3,2,2,1,3,2,3,2
C16,2,2,1,1,1,1,2,2,3,3,1,1,1,1,1,1,3,2,1,1,2,2,3,2,2,2,1,1,1,1,2,1,2,1,2,2,3,2,2,1,1,1,3,3,1,1,3,3,2,2,1,1,1,1,3,2,2,2,3,3,3,3,2,2,1,1,2,2,1,1,3,3,3,3,1,1,3,2,3,2
C17,2,2,2,1,2,1,3,3,3,2,3,2,2,1,2,1,3,1,2,2,3,2,3,3,3,3,3,3,3,2,1,1,3,2,3,2,3,3,3,2,2,1,3,3,2,1,3,2,2,1,3,2,3,2,2,2,3,3,2,1,3,3,3,1,2,1,3,2,1,1,3,3,3,3,2,1,2,2,3,3
C18,2,1,1,1,1,1,3,2,3,2,3,2,1,1,1,1,3,2,3,3,3,2,3,3,3,3,2,2,3,2,1,1,3,2,3,3,3,3,3,2,2,2,3,3,3,2,2,2,3,2,3,3,3,2,3,3,3,3,3,2,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,2,3,3,3,3
C19,3,2,3,2,3,1,3,3,3,2,3,2,2,1,3,1,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,3,3,3,3,3,2,3,2,3,3,3,2,3,3,3,2,3,3,3,2,3,2,3,3,3,1,3,2,3,2,2,1,2,2,2,2,3,3,3,3,3,2,3,2,3,3
C20,2,2,2,2,2,1,3,2,3,2,3,1,2,2,2,1,3,2,3,1,3,1,3,1,3,2,3,2,3,1,3,3,3,2,3,2,3,2,3,1,3,1,3,2,3,1,3,2,3,2,3,1,3,2,2,1,3,2,3,3,3,2,3,1,3,1,3,2,2,1,3,3,3,2,3,2,3,1,3,2
C21,3,2,3,2,3,2,3,3,3,3,3,2,3,2,3,2,2,2,3,2,3,2,3,2,3,2,3,2,2,2,3,2,3,2,3,2,3,2,3,2,2,1,3,2,2,1,2,1,2,1,2,1,3,2,3,2,3,2,3,2,3,2,2,2,2,2,3,2,2,1,3,2,3,2,3,2,3,2,3,2
C22,2,2,2,2,2,2,3,2,3,2,3,2,1,1,2,1,3,2,3,3,3,2,3,2,3,3,3,2,3,2,2,2,2,2,3,2,3,2,3,2,2,2,3,2,3,2,3,3,3,2,3,3,3,2,2,1,3,2,2,2,3,2,2,2,2,1,2,2,2,2,2,1,3,2,3,2,2,2,3,2
C23,2,1,2,2,3,2,3,2,2,1,3,1,3,2,3,1,3,2,3,2,3,2,3,2,3,2,3,1,3,2,1,1,1,1,3,2,3,2,3,2,1,1,3,2,3,2,3,2,3,1,3,2,1,1,3,1,3,2,3,2,3,2,2,2,1,1,1,1,1,1,3,2,3,2,3,1,2,2,3,2
C24,2,2,2,2,1,1,3,3,3,3,2,1,3,3,1,1,3,3,3,2,3,2,3,2,3,2,3,2,3,2,1,1,3,2,3,2,3,2,3,2,2,1,3,2,3,2,3,2,3,1,3,2,3,1,3,2,3,2,3,3,3,2,3,2,3,2,3,2,1,1,3,2,3,2,3,2,3,2,3,2
C25,2,1,1,1,2,2,3,3,2,2,2,1,2,1,2,1,3,2,3,2,3,2,3,2,3,3,3,2,3,2,3,3,3,2,3,2,3,3,3,1,3,1,3,1,3,3,3,3,3,1,3,2,3,3,1,1,3,2,1,1,3,2,2,1,2,1,2,1,2,1,3,2,3,2,3,1,3,2,3,1
C26,2,1,2,1,2,1,3,3,3,1,2,1,2,1,1,1,3,2,3,2,3,2,3,2,3,2,3,2,3,2,2,1,1,1,3,1,3,2,2,1,2,1,3,2,3,1,3,1,3,1,3,2,3,1,1,1,3,2,1,1,3,2,2,1,1,1,1,1,1,1,3,3,3,2,3,2,2,2,3,2
C27,3,2,3,2,1,1,3,2,1,1,2,2,3,3,2,2,3,2,3,3,3,2,3,2,3,2,3,2,3,2,2,2,3,2,3,2,3,2,3,2,3,2,2,2,3,2,3,2,2,2,2,2,3,2,2,2,3,2,3,3,3,3,1,1,2,2,2,2,2,2,3,2,3,2,2,2,2,2,3,2
C28,3,1,3,1,3,1,3,2,3,2,2,1,3,2,1,1,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,1,3,2,3,2,3,2,3,1,3,2,3,2,3,2,3,2,3,2,3,2,3,1,3,2,3,2,3,2,3,2,3,2,3,2,2,1,3,2,3,2,3,2,3,2,3,2
C29,2,2,2,2,2,1,3,2,3,2,2,1,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,1,1,3,2,3,2,3,3,2,2,1,1,3,3,3,2,3,3,2,2,3,2,3,3,3,2,3,3,3,2,3,3,2,2,3,2,3,2,3,2,3,3,3,2,3,2,3,2,3,2
C30,3,2,2,2,3,2,3,3,3,2,3,2,2,1,2,2,3,3,3,2,3,2,3,2,3,2,3,3,3,2,1,1,2,2,3,2,3,3,2,2,2,1,3,3,3,2,3,3,2,2,2,2,2,2,1,1,3,2,2,1,3,3,2,2,2,1,1,1,1,1,3,2,3,2,3,2,2,2,3,3
C31,2,1,2,1,2,1,3,2,2,1,2,2,2,2,3,2,3,2,3,2,2,1,3,2,3,2,3,2,3,3,1,1,3,3,3,2,3,2,3,2,2,1,2,2,1,1,3,2,2,2,3,2,3,2,2,1,3,2,2,2,3,2,2,2,1,1,3,2,3,2,3,2,3,2,3,2,3,2,3,2
C32,1,1,1,1,2,1,3,2,1,1,2,2,3,3,2,1,3,2,3,2,3,3,3,2,2,2,2,2,3,2,1,1,2,2,2,2,3,2,3,2,1,1,2,2,2,3,3,2,1,1,2,2,2,2,1,1,3,3,2,1,2,2,3,2,3,2,2,1,1,1,3,2,3,3,3,2,3,2,3,2
C33,1,1,2,1,2,1,3,1,3,1,1,1,1,1,1,1,3,2,1,1,3,2,3,3,3,3,3,1,3,3,1,1,3,2,1,1,3,3,1,1,2,1,1,1,3,1,3,2,1,1,2,1,3,2,1,1,3,3,1,1,3,2,3,1,1,1,2,1,2,1,1,1,3,3,1,1,3,2,3,1
C34,2,2,2,2,3,3,3,3,3,2,3,3,3,2,3,1,3,3,3,2,3,3,3,3,3,1,3,3,3,3,2,1,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,1,3,2,3,1,3,3,3,2,3,1,3,3,3,1,3,2,3,3
C35,3,2,2,2,2,1,3,2,2,2,2,2,2,2,2,1,2,2,3,2,3,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,3,2,2,2,3,3,1,1,3,3,1,1,3,2,3,2,1,1,2,2,2,1,3,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,3,2
